"province_ID","poor.household.CNT","poor.JPT.CNT","poor.JPT.MOFreg.CNT","poor.JPT.MOFval.CNT","poor.JPT.MOFval.health","poor.JPT.MOFval.living","poor.JPT.MOFval.education","poor.JPT.MOFval.income","poor.JPT.MOFval.accessibility","JPT.MOFval.pov.rate","poor.JPT.MOFval.ind1.CNT","poor.JPT.MOFval.ind2.CNT","poor.JPT.MOFval.ind3.CNT","poor.JPT.MOFval.ind4.CNT","poor.JPT.MOFval.ind5.CNT","poor.JPT.MOFval.ind6.CNT","poor.JPT.MOFval.ind7.CNT","poor.JPT.MOFval.ind8.CNT","poor.JPT.MOFval.ind9.CNT","poor.JPT.MOFval.ind10.CNT","poor.JPT.MOFval.ind11.CNT","poor.JPT.MOFval.ind12.CNT","poor.JPT.MOFval.ind13.CNT","poor.JPT.MOFval.ind14.CNT","poor.JPT.MOFval.ind15.CNT","poor.JPT.MOFval.ind16.CNT","poor.JPT.MOFval.ind17.CNT","poor.JPT.MOFval.ind18.CNT","poor.JPT.MOFval.ind19.CNT","poor.JPT.MOFval.ind20.CNT","poor.JPT.MOFval.ind21.CNT","poor.JPT.MOFval.ind22.CNT","poor.JPT.MOFval.ind23.CNT","poor.JPT.MOFval.ind24.CNT","poor.JPT.MOFval.ind25.CNT","poor.JPT.MOFval.ind26.CNT","poor.JPT.MOFval.ind27.CNT","poor.JPT.MOFval.ind28.CNT","poor.JPT.MOFval.ind29.CNT","poor.JPT.MOFval.ind30.CNT","poor.JPT.MOFval.ind31.CNT"
43,1421,4556,1430,1136,0,1136,0,0,0,0.368667183752681,0,2,0,300,240,60,10,81,33,36,1080,24,140,5,0,2,4,0,47,82,78,9,178,464,509,28,0,5,1,8,101
44,1597,5982,2005,1569,0,1569,0,0,0,0.218319040787674,0,3,0,497,155,59,5,219,16,15,1373,73,73,0,0,18,0,0,8,31,50,55,33,672,654,5,3,0,1,0,61
45,1657,4439,1493,1154,0,1154,0,0,0,0.126877601595535,1,3,0,281,62,95,9,148,18,22,994,205,70,6,0,61,2,0,18,58,79,86,77,430,323,158,4,0,0,61,43
46,1219,4315,1675,1341,0,1341,0,0,0,0.189049241617901,3,2,0,69,114,65,5,66,75,157,1164,28,92,2,0,81,7,0,48,49,43,41,137,630,734,21,0,3,0,4,47
47,3217,10249,4367,3959,0,3959,0,0,0,0.532359783237188,0,0,4,677,399,550,27,74,38,55,3845,118,190,3,0,96,3,0,18,100,81,2,545,958,1554,62,1,0,0,1,119
48,2139,6837,3081,2462,0,2462,0,0,0,0.48730570614793,0,0,0,572,96,450,8,123,39,64,2304,9,223,2,0,129,3,0,8,26,39,29,218,1412,1241,48,0,0,0,2,38
49,1224,3978,1763,1406,0,1406,0,0,0,0.577673692427791,0,0,0,1,0,0,1,32,365,365,1024,2,1,0,0,5,0,0,62,7,6,21,429,623,502,0,0,0,0,0,0
50,19018,55711,20599,18255,0,18255,0,0,0,1.87068643073439,3,8,9,6760,5971,1380,284,1215,1342,2496,16799,799,5143,79,19,611,16,0,5684,1222,1368,28,6129,6587,5902,348,37,13,9,78,715
51,2750,8018,2827,2549,0,2549,0,0,0,0.816293852977439,0,3,1,1141,722,463,22,142,58,39,2447,51,483,1,0,8,0,0,971,33,55,1,94,1276,1500,5,0,0,0,5,16
52,3084,8174,3361,2730,0,2730,0,0,0,0.526782957702995,0,0,0,286,266,358,116,125,204,227,2454,93,358,2,2,31,0,2,138,258,555,33,928,1164,782,140,0,3,0,22,92
53,1370,3926,1708,1385,0,1385,0,0,0,0.465124089062028,0,3,0,72,107,144,21,98,264,330,1017,43,47,0,0,85,1,0,19,86,191,17,180,668,646,39,0,1,0,49,56
54,621,1646,797,678,0,678,0,0,0,0.218387731634333,0,0,0,42,82,7,2,86,98,111,518,33,58,8,0,0,0,0,14,15,56,3,108,293,162,11,0,3,0,0,18
55,8617,30918,16770,15178,0,15178,0,0,0,4.47257607769988,0,0,2,1625,1218,1159,235,596,9318,6041,8974,459,1067,10,7,273,6,1,2822,798,1133,293,2469,8000,4580,717,8,6,0,5,151
56,492,1159,614,507,0,507,0,0,0,0.16409891248058,0,0,0,158,33,53,7,1,0,1,505,8,139,2,0,0,0,0,40,38,80,7,72,224,163,29,0,0,0,2,1
57,7928,25334,9756,8294,0,8294,0,0,0,1.0675721422108,0,0,1,841,1544,1829,208,1938,793,742,6217,718,1431,227,23,551,6,1,1615,716,901,65,2743,3006,2470,369,38,12,0,84,672
